s.no,BRAND_NAME,Rating,Orginal Prices,Discounted Prices,Percentage_Offer,Exchange_price,Votes
0,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV ,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
1,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
3,Mi 4A PRO - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.4,"₹19,999","₹16,999",15% off,Bank Offer,"6,29,297 Ratings & 64,776 Reviews"
4,LG - 80 cm (32 inch) & HD Ready LED Smart TV,4.4,"₹21,990","₹17,999",18% off,"No Cost EMI from ₹2,000/month","29,119 Ratings & 2,639 Reviews"
6,Mi 4X - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹34,999","₹29,999",14% off,Bank Offer,"68,412 Ratings & 7,312 Reviews"
7,Mi 4A Horizon Edition - 100 cm (40 inch) & Full HD LED Smart Android TV,4.3,"₹29,999","₹24,999",16% off,Bank Offer,"8,679 Ratings & 815 Reviews"
8,Mi 4A Pro - 108 cm (43 inch) & Full HD LED Smart Android TV,4.4,"₹29,999","₹26,999",10% off,"Upto ₹11,000 Off on Exchange","6,29,297 Ratings & 64,776 Reviews"
9,Mi 4X - 125.7 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹41,999","₹38,999",7% off,Bank Offer,"68,412 Ratings & 7,312 Reviews"
10,Mi 4A - 100 cm (40 inch) & Full HD LED Smart Android TV,4.4,"₹24,999","₹23,999",4% off,Bank Offer,"6,29,297 Ratings & 64,776 Reviews"
11,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
12,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
13,TOSHIBA L- 50 Series - 108 cm (43 inch) & Full HD LED Smart TV,4.3,"₹31,990","₹24,990",21% off,"No Cost EMI from ₹2,777/month",456 Ratings & 49 Reviews
14,Mi 5X - 125.7 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,3.9,"₹59,999","₹41,999",30% off,Bank Offer,546 Ratings & 97 Reviews
15,iFFALCON by TCL - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹58,990","₹33,999",42% off,"Upto ₹11,000 Off on Exchange","10,194 Ratings & 1,490 Reviews"
16,Mi 4A Horizon Edition - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.3,"₹19,999","₹17,499",12% off,Bank Offer,"8,679 Ratings & 815 Reviews"
17,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
18,OnePlus Y Series - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.3,"₹19,999","₹18,999",5% off,Bank Offer,"36,694 Ratings & 3,420 Reviews"
19,Vu Premium - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹39,999","₹32,999",17% off,"Upto ₹11,000 Off on Exchange","20,311 Ratings & 3,544 Reviews"
20,Mi 4X - 138.8 cm (55 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹49,999","₹44,999",10% off,Bank Offer,"68,412 Ratings & 7,312 Reviews"
21,TCL C715 Series - 126 cm (50 inch) & QLED Ultra HD (4K) Smart Android TV ,4.4,"₹1,09,990","₹47,999",56% off,"Upto ₹11,000 Off on Exchange",211 Ratings & 34 Reviews
22,LG - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹59,990","₹38,990",35% off,"No Cost EMI from ₹2,167/month",471 Ratings & 74 Reviews
23,realme - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.3,"₹17,999","₹16,999",5% off,"Upto ₹11,000 Off on Exchange","1,38,860 Ratings & 16,762 Reviews"
24,Micromax Smart LED TV - 60 cm (24 inch) & HD Ready LED Smart TV,3.9,"₹13,490","₹12,499",7% off,"Upto ₹11,000 Off on Exchange",89 Ratings & 8 Reviews
25,LG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹40,990","₹33,990",17% off,"No Cost EMI from ₹1,889/month","5,969 Ratings & 525 Reviews"
26,SAMSUNG Crystal 4K - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹52,900","₹38,990",26% off,Bank Offer,"1,729 Ratings & 235 Reviews"
27,SAMSUNG - 80 cm (32 inch) & HD Ready LED Smart TV,4.3,"₹19,900","₹18,290",8% off,"No Cost EMI from ₹1,017/month","38,266 Ratings & 3,592 Reviews"
28,TCL S65A Series - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹29,990","₹16,499",44% off,"Upto ₹11,000 Off on Exchange",268 Ratings & 30 Reviews
29,SAMSUNG - 108 cm (43 inch) & Full HD LED Smart TV,4.4,"₹38,900","₹32,990",15% off,"No Cost EMI from ₹1,833/month","3,482 Ratings & 387 Reviews"
30,Vu Premium - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹75,000","₹43,999",41% off,"No Cost EMI from ₹7,334/month","20,311 Ratings & 3,544 Reviews"
31,TCL P715 - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹89,990","₹34,999",61% off,"Upto ₹11,000 Off on Exchange",423 Ratings & 31 Reviews
32,KODAK 7XPRO Series - 80 cm (32 inch) & HD Ready LED Smart Android TV,4.4,"₹18,499","₹13,990",24% off,"Upto ₹11,000 Off on Exchange","17,794 Ratings & 4,547 Reviews"
33,KODAK 7XPRO Series - 106 cm (42 inch) & Full HD LED Smart Android TV,4.4,"₹27,999","₹21,499",23% off,"Upto ₹11,000 Off on Exchange","17,794 Ratings & 4,547 Reviews"
34,realme - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.2,"₹32,999","₹30,999",6% off,"Upto ₹11,000 Off on Exchange","5,781 Ratings & 762 Reviews"
35,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV ,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
36,Hisense A71F - 126 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹43,990","₹35,999",18% off,"No Cost EMI from ₹4,000/month","6,136 Ratings & 1,226 Reviews"
37,realme - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹27,999","₹26,999",3% off,"Upto ₹11,000 Off on Exchange","1,38,860 Ratings & 16,762 Reviews"
38,Hisense A6GE Series - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.8,"₹36,990","₹31,999",13% off,"No Cost EMI from ₹3,556/month",5 Ratings & 1 Reviews
39,SAMSUNG The Frame 2020 Series - 163 cm (65 inch) & QLED Ultra HD (4K) Smart TV,4.6,"₹2,22,900","₹1,29,990",41% off,"No Cost EMI from ₹5,417/month","3,960 Ratings & 615 Reviews"
41,iFFALCON by TCL - 138.6 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹1,06,990","₹36,999",65% off,"Upto ₹11,000 Off on Exchange","4,902 Ratings & 759 Reviews"
42,TCL P615 - 126 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.2,"₹62,990","₹33,999",46% off,"Upto ₹11,000 Off on Exchange",48 Ratings & 4 Reviews
44,SONY Bravia X7002G - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹66,900","₹44,999",32% off,"No Cost EMI from ₹3,750/month","5,634 Ratings & 1,015 Reviews"
45,TOSHIBA U- 50 Series - 126 cm (50 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹46,990","₹34,990",25% off,"No Cost EMI from ₹3,888/month","1,941 Ratings & 338 Reviews"
46,SONY BRAVIA - 80 cm (32 inch) & HD Ready LED Smart TV,4.5,"₹29,900","₹26,499",11% off,"No Cost EMI from ₹2,209/month","2,752 Ratings & 458 Reviews"
47,Vu Premium - 108 cm (43 inch) & Full HD LED Smart Android TV,4.3,"₹40,000","₹26,999",32% off,"Upto ₹11,000 Off on Exchange","32,213 Ratings & 4,476 Reviews"
48,KODAK 7X Pro - 139 cm (55 inch) & Ultra HD (4K) LED Smart Android TV,4.3,"₹39,990","₹34,999",12% off,"No Cost EMI from ₹3,889/month","1,943 Ratings & 495 Reviews"
49,SAMSUNG Crystal 4K Pro - 146 cm (58 inch) & Ultra HD (4K) LED Smart TV,4.3,"₹80,900","₹61,990",23% off,Bank Offer,"1,819 Ratings & 297 Reviews"
50,Thomson 9A Series - 102 cm (40 inch) & Full HD LED Smart Android TV,4.4,"₹21,499","₹20,499",4% off,"No Cost EMI from ₹3,417/month","44,601 Ratings & 11,128 Reviews"
51,iFFALCON by TCL - 79.97 cm (32 inch) & HD Ready LED Smart Android TV,4.2,"₹18,999","₹14,999",21% off,"Upto ₹11,000 Off on Exchange","25,008 Ratings & 3,580 Reviews"
52,Thomson OATHPRO Series - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹37,999","₹29,999",21% off,"No Cost EMI from ₹5,000/month","18,089 Ratings & 5,323 Reviews"
54,LG - 108 cm (43 inch) & Ultra HD (4K) LED Smart TV,4.5,"₹59,990","₹44,990",25% off,"No Cost EMI from ₹2,500/month",36 Ratings & 10 Reviews
55,SONY BRAVIA X7400H - 138.8 cm 55 inch) & Ultra HD (4K) LED Smart Android TV,4.6,"₹94,900","₹69,999",26% off,"No Cost EMI from ₹3,889/month","1,846 Ratings & 399 Reviews"
57,Sansui - 127 cm (50 inch) & Ultra HD (4K) LED Smart Android TV,4.6,"₹45,190","₹36,999",18% off,"Upto ₹11,000 Off on Exchange",50 Ratings & 9 Reviews
58,Vu Premium - 108 cm (43 inch) & Ultra HD (4K) LED Smart Android TV,4.4,"₹39,999","₹32,999",17% off,"Upto ₹11,000 Off on Exchange","20,311 Ratings & 3,544 Reviews"
